permission_code,name,description,frontend_status,frontend_location,notes
auth.users.create,Create Users,Membuat user baru,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.update,Update Users,Mengubah data user,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.delete,Delete Users,Menghapus atau menonaktifkan user,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.update_status,Update User Status,Mengaktifkan atau menonaktifkan user,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.update_password,Update User Password,Mengubah password user,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.revoke_sessions,Revoke User Sessions,Mencabut semua session user,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.access.read,Read User Access,"Melihat akses company, location, dan category group user",INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.access.update,Update User Access,"Mengubah akses company, location, dan category group user",INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.roles.read,Read User Roles,Melihat role user,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.users.roles.update,Update User Roles,Mengubah role user,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.roles.read,Read Roles,Melihat role,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.roles.create,Create Roles,Membuat role,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.roles.update,Update Roles,Mengubah role,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.roles.delete,Delete Roles,Menghapus role,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.roles.permissions.read,Read Role Permissions,Melihat permission role,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.roles.permissions.update,Update Role Permissions,Mengubah permission role,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.permissions.read,Read Permissions,Melihat permission,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.item_requests.read,Read Item Requests,Melihat daftar dan detail permintaan barang.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.item_requests.update,Update Item Requests,Mengubah dan memproses permintaan barang.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.item_usages.create,Create Item Usages,Membuat transaksi pemakaian barang.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.item_usages.read,Read Item Usages,Melihat daftar dan detail pemakaian barang.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.item_usages.update,Update Item Usages,Mengubah dan memproses transaksi pemakaian barang.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
reports.inventory_valuation.read,Read Inventory Valuation,"Melihat laporan jumlah stok, average unit cost, dan total nilai persediaan berdasarkan context aktif.",INTEGRATED,src/config/navigation.ts; src/router/index.ts; src/modules/reports/ReportsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
reports.asset_valuation.read,Read Asset Valuation,"Melihat laporan acquisition cost, accumulated depreciation, dan net book value aset berdasarkan context aktif.",INTEGRATED,src/config/navigation.ts; src/router/index.ts; src/modules/reports/ReportsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.permissions.create,Create Permissions,Membuat permission,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.permissions.update,Update Permissions,Mengubah permission,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.permissions.delete,Delete Permissions,Menghapus permission,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.activity.audit_logs.read,Read Audit Logs,Melihat audit log aktivitas user,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.activity.login_histories.read,Read Login Histories,Melihat riwayat login user,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
auth.activity.active_sessions.read,Read Active Sessions,Melihat session aktif user,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.companies.read,Read Companies,Melihat company,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.companies.create,Create Companies,Membuat company,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.companies.update,Update Companies,Mengubah company,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.companies.delete,Delete Companies,Menonaktifkan company,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.location_types.read,Read Location Types,Melihat tipe lokasi,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.location_types.create,Create Location Types,Membuat tipe lokasi,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.location_types.update,Update Location Types,Mengubah tipe lokasi,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.location_types.delete,Delete Location Types,Menonaktifkan tipe lokasi,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.locations.read,Read Locations,Melihat lokasi,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.locations.create,Create Locations,Membuat lokasi,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.locations.update,Update Locations,Mengubah lokasi,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.locations.delete,Delete Locations,Menonaktifkan lokasi,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
warehouses.read,Read Warehouses,Melihat warehouse,LEGACY_DUPLICATE_NOT_USED,,Permission legacy duplikat. Frontend dan route backend aktif menggunakan warehouse.warehouses.*.
warehouses.create,Create Warehouses,Membuat warehouse,LEGACY_DUPLICATE_NOT_USED,,Permission legacy duplikat. Frontend dan route backend aktif menggunakan warehouse.warehouses.*.
warehouses.update,Update Warehouses,Mengubah warehouse,LEGACY_DUPLICATE_NOT_USED,,Permission legacy duplikat. Frontend dan route backend aktif menggunakan warehouse.warehouses.*.
warehouses.delete,Delete Warehouses,Menonaktifkan warehouse,LEGACY_DUPLICATE_NOT_USED,,Permission legacy duplikat. Frontend dan route backend aktif menggunakan warehouse.warehouses.*.
warehouse.warehouses.read,Read Warehouses,Melihat warehouse,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
warehouse.warehouses.create,Create Warehouses,Membuat warehouse,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
warehouse.warehouses.update,Update Warehouses,Mengubah warehouse,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
warehouse.warehouses.delete,Delete Warehouses,Menonaktifkan warehouse,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.uoms.read,Read UOMs,Melihat satuan,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.uoms.create,Create UOMs,Membuat satuan,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.uoms.update,Update UOMs,Mengubah satuan,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.uoms.delete,Delete UOMs,Menonaktifkan satuan,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.categories.read,Read Categories,Melihat kategori,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.categories.create,Create Categories,Membuat kategori,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.categories.update,Update Categories,Mengubah kategori,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.categories.delete,Delete Categories,Menonaktifkan kategori,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.brands.read,Read Brands,Melihat brand,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.brands.create,Create Brands,Membuat brand,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.brands.update,Update Brands,Mengubah brand,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.brands.delete,Delete Brands,Menonaktifkan brand,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.suppliers.read,Read Suppliers,Melihat supplier,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.suppliers.create,Create Suppliers,Membuat supplier,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.suppliers.update,Update Suppliers,Mengubah supplier,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.suppliers.delete,Delete Suppliers,Menonaktifkan supplier,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.items.read,Read Items,Melihat item,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.items.create,Create Items,Membuat item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.items.update,Update Items,Mengubah item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.items.delete,Delete Items,Menonaktifkan item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_part_numbers.read,Read Item Part Numbers,Melihat part number item,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_part_numbers.create,Create Item Part Numbers,Membuat part number item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_part_numbers.update,Update Item Part Numbers,Mengubah part number item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_part_numbers.delete,Delete Item Part Numbers,Menonaktifkan part number item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_uom_conversions.read,Read Item UOM Conversions,Melihat konversi satuan item,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_uom_conversions.create,Create Item UOM Conversions,Membuat konversi satuan item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_uom_conversions.update,Update Item UOM Conversions,Mengubah konversi satuan item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_uom_conversions.delete,Delete Item UOM Conversions,Menonaktifkan konversi satuan item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_suppliers.read,Read Item Suppliers,Melihat supplier item,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_suppliers.create,Create Item Suppliers,Membuat supplier item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_suppliers.update,Update Item Suppliers,Mengubah supplier item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.item_suppliers.delete,Delete Item Suppliers,Menonaktifkan supplier item,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.purchase_orders.read,Read Purchase Orders,Melihat purchase order,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.purchase_orders.create,Create Purchase Orders,Membuat purchase order,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.purchase_orders.send,Send Purchase Orders,Mengirim purchase order,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.purchase_orders.update,Update Purchase Orders,Mengubah purchase order,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/router/index.ts; src/modules/approvals/ApprovalsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.goods_receipts.read,Read Goods Receipts,Melihat goods receipt,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.goods_receipts.create,Create Goods Receipts,Membuat goods receipt,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.goods_receipts.update,Update Goods Receipts,Mengubah goods receipt,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.goods_receipts.generate_qr,Generate Goods Receipt QR,Generate QR goods receipt,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.goods_receipts.scan_to_stock,Scan Goods Receipt To Stock,Scan QR goods receipt ke stock,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.goods_receipts.post_qty_to_stock,Post Goods Receipt Qty To Stock,Posting qty goods receipt ke stock,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.goods_receipts.post_scanned_to_stock,Post Scanned Goods Receipt To Stock,Posting hasil scan goods receipt ke stock,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stocks.read,Read Inventory Stocks,Melihat stock inventory,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.item_units.read,Read Item Units,Melihat unit item/QR,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/modules/resource/ResourceWorkbenchView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_thresholds.read,Read Stock Thresholds,Melihat minimum stock,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_thresholds.create,Create Stock Thresholds,Membuat minimum stock,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_thresholds.update,Update Stock Thresholds,Mengubah minimum stock,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.stock_thresholds.delete,Delete Stock Thresholds,Menghapus minimum stock,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.divisions.read,Read divisions,View HRIS-synchronized divisions,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.employees.read,Read employees,View HRIS-synchronized employees,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.employees.sync,Sync HRIS organization,Run HRIS division and employee synchronization,BACKEND_ROUTE_DISABLED,,"Permission tersedia, tetapi route sinkronisasi HRIS pada BACKEND(66) masih dinonaktifkan/commented."
